3月1日起 一批新规正式施行 一起来看看3月份 生活将有哪些不一样！          版权归原作者所有，如需转载请注明出处	明天起，一批新规正式施行。一起来看看3月份，生活将有哪些不一样！          来源：人民网、人民日报 编辑：陶瑞祥
丸山说：“我们不是现在就要求中止（圣火传递），将视疫情状况以及（中央和东京都政府防疫对策）是否有改善再做决定。”他10日批评首都疫情防控能力差，质疑东京都政府是否有资格举办奥运会。共同社报道，岛根县考虑取消奥运圣火传递反映日本民众对今夏举行奥运会的强烈忧虑。	新华社照片，东京，2021年2月17日这是2月17日拍摄的联合记者会现场。当日，国际奥委会、国际残奥委会和东京奥组委在日本东京召开联合记者会，就东京奥运会、残奥会如何防疫进一步向媒体说明情况并回答问题。2月15至17日，国际奥委会、国际残奥委会和东京奥组委举行远程会议，讨论防疫措施。
今天白天：全省多云，有4～5级、短时6级偏南风。最高气温：全省5～13℃。十五的月亮十六圆据专家介绍，今年的元宵节是“十五的月亮十六圆”，月亮最圆时刻为27日16时17分。	前几天晋南多地都下雪了但是不少老乡给小编留言说家乡没下雪别着急雪来了今天白天：全省多云，有4～5级、短时6级偏南风。最高气温：全省5～13℃。十五的月亮十六圆据专家介绍，今年的元宵节是“十五的月亮十六圆”，月亮最圆时刻为27日16时17分。
2月27日上午，内蒙古呼和浩特至山东济南间首次开行动车组列车，这也是内蒙古首趟开往华东地区的动车组列车，进一步密切了内蒙古与沿海经济发达地区的交通联系。	内蒙古首开直通华东地区动车组列车实现朝发夕至图为开通现场。铁路部门供图中新网呼和浩特2月27日电（记者李爱平）27日上午，内蒙古自治区呼和浩特至山东济南间首次开行动车组列车，这也是内蒙古首趟开往华东地区的动车组列车。图为开通现场。
春晚相声《如此家长》，戳中了无数家长的心	这个春晚相声发人深省，“如此家长”当不得
“别睡！别睡！”一声声呼叫，唤回一条生命……	“别睡！别睡！”一声声呼叫，唤回一条生命……
河北石家庄：除藁城、新乐外市域内低风险区检查站点取消	石家庄：近期将开通市域内长途客运业务，取消市域范围所有低风险区自行设置的检查站点
就在今天，詹姆斯打破了自己保持了9年的NBA纪录，还要拿MVP吗？	拒绝爆冷！湖人导演12分大逆转，詹姆斯一战创造3项纪录
2月28日，邮政速递合肥云谷路揽投部工作人员告诉澎湃新闻，27日下午，经合肥市公安局包河分局刑警大队调查，已确认手机被盗换事件与快递公司无关，“现在被偷的手机定位显示是在北京”。	2月28日，邮政速递合肥云谷路揽投部工作人员告诉澎湃新闻，27日下午，经合肥市公安局包河分局刑警大队调查，已确认手机被盗换事件与快递公司无关，“现在被偷的手机定位显示是在北京”。
马布里还在社交媒体上配上了一段文字“低位脚步决定进攻上限，背身技术决定生涯长度”。和深圳的比赛，由于沈梓捷因伤缺阵，王少杰在对位深圳两名内线赵义明和买尔丹时，移动和弹跳成了绝对的优势。上赛季王少杰的表现高开低走，去年夏天复赛后，因为伤病影响，王少杰陷入持续的低迷。	去年夏天，有媒体报道马布里看上了辽宁男篮的刘志轩，并且双方走得非常近，但因为辽宁男篮提出了500万的培养费，北控男篮方面拒绝了这个开价，随后马布里用许梦君交易得到了江苏男篮的侯逸凡。
事发经过及核实情况（一）关于高树英反映“被刘忠杰掌掴辱骂、抢走手机、不准报警”的调查情况2020年7月3日上午，彭某银（李坤明同母异父的兄弟）、高树英两家共7人先后来到东温泉镇政府，找镇长反映房屋拆迁诉求及解决其母亲生病问题，并将87岁的母亲雷某珍抬到二楼包某美（镇人大主席）办公室。	事发经过及核实情况(一)关于高树英反映“被刘忠杰掌掴辱骂、抢走手机、不准报警”的调查情况2020年7月3日上午，彭某银(李坤明同母异父的兄弟)、高树英两家共7人先后来到东温泉镇政府，找镇长反映房屋拆迁诉求及解决其母亲生病问题，并将87岁的母亲雷某珍抬到二楼包某美(镇人大主席)办公室。
关于“欧艾抑菌霜”事件调查处置进展情况的通报漳州市成立由卫健、市场监管、工信、公安、龙文区政府等组成的事件处置工作组，针对群众和社会反映欧艾婴童健康护理用品有限公司生产的两款抑菌霜产品涉嫌违法添加激素问题，依法依规开展调查。	经有检测资质的第三方机构检测，已确认召回的涉事产品“益芙灵多效特护抑菌霜”和“开心森林一抹舒宝宝皮肤抑菌霜”含有氯倍他索丙酸酯，企业涉嫌生产、销售伪劣产品。在该起事件中，该面霜是属于消字号的产品。
据法新社华盛顿消息，美国众议院当地时间27日凌晨通过了规模达1.9万亿美元的新冠肺炎疫情一揽子救助计划。美国民主党人对此表示欢迎，认为这是向国内疫苗接种行动、不堪重负的地方政府以及数以百万计被疫情压垮的家庭注入新资金的关键一步。	当地时间2月27日凌晨，美国众议院投票通过了1.9万亿美元新一轮经济救助计划。这项由美国总统拜登提出的总额达1.9万亿美元的新一轮经济救助计划，旨在为受新冠疫情影响的美国家庭和企业提供财政支持。
江疏影回应粉丝不进组：老娘就是不进组	被爆团队离职率高，江疏影自黑式回应获赞，深扒女神微博我笑了
这样对孩子真的好吗？春晚相声《如此家长》主创这样说	这样对孩子真的好吗？春晚相声《如此家长》主创这样说
肖战参加《微博之夜》，穿着条纹衣服现身上海机场，感觉瘦了很多	肖战微博之夜造型帅出新高度，却被粉丝形容像“斯文败类”
2021/2/5星期五 A25 Disclosure	2021/2/5星期五 A14 Disclosure
“四川天府健康通”上线，泸州将全区域覆盖	今天起！巴中恩阳机场进出港需使用“四川天府健康通”
成都去西昌将更便捷乐西高速或明年上半年开建	成都到西昌再多一条高速路：乐西高速计划明年开建
1月15日，THE9组合官博发文称根据上海最新发布的隔离政策，虞书欣已主动在上海隔离，所以会缺席THE9去爱奇艺尖叫之夜晚会，而且也不能参加近期一些活动了。此消息一出，粉丝们竟然纷纷表示要好好照顾虞书欣，而且还心疼她不能好好工作了，这难道不是应该的吗？	如今传出停录信息也是引发了广大秀粉女孩们的关注。根据粉丝的说法，虞书欣是在发布封城通知的当天下午14时离开了河北廊坊大厂前往首都机场，且在16时30分从首都机场出发，18时45分到达了上海。网友们并不买账，认为官博说法仅指出了上海方面规定，而模糊了廊坊方面政策。
三八妇女节 放假半天！就在下周一！     其实除了妇女节 还有一些节是可以休息的  特别注意：部分公民放假的假日如果适逢星期六、星期日，是不再补假的。在部分公民放假的节日期间，对参加社会或单位组织庆祝活动和照常工作的职工，单位应支付工资报酬，但不支付加班工资。 来源|北方新报	三八妇女节放假半天！就在下周一！其实除了妇女节还有一些节是可以休息的特别注意：部分公民放假的假日如果适逢星期六、星期日，是不再补假的。在部分公民放假的节日期间，对参加社会或单位组织庆祝活动和照常工作的职工，单位应支付工资报酬，但不支付加班工资。内容来源：《全国年节及纪念日放假办法》、青岛12333
（三）面试和专业能力测试1.资格复审州（市）级及以上公务员主管部门在达到笔试最低合格分数线（须进行体能测评的测评结果为合格）的考生中，按不超过职位招录数2倍的比例和笔试成绩从高到低顺序，确定各职位参加资格复审人员，详见《报考指南》。	（三）面试和专业能力测试1.资格复审州（市）级及以上公务员主管部门在达到笔试最低合格分数线（须进行体能测评的测评结果为合格）的考生中，按不超过职位招录数2倍的比例和笔试成绩从高到低顺序，确定各职位参加资格复审人员，详见《报考指南》。
央广网烟台1月12日消息(记者刘华栋柴安东王成林)2021年1月11日晚8点48分，烟台市委接栖霞市委报告：1月10日下午2点，位于栖霞市西城镇正在建设的五彩龙金矿发生爆炸事故，冲击波将井通梯子间损坏，罐笼无法正常运行。事故发生时，井下有22名工人被困，因通讯信号系统损坏，目前尚未取得联系。	中新网客户端1月12日电据山东省烟台市人民政府新闻办公室官方微博消息，11日晚8时48分，烟台市委接栖霞市委报告：1月10日下午2时，位于栖霞市西城镇正在建设的五彩龙金矿发生爆炸事故，冲击波将井通梯子间损坏，罐笼无法正常运行。事故发生时，井下有22名工人被困，因通讯信号系统损坏，目前尚未取得联系。
降！降！降！这些钱要少收......	好消息！明确降费！！！
NBA全明星赛的两位队长詹姆斯和杜兰特今天通过电视直播完成了选人。杜兰特的头号签选择了自己的篮网队友欧文。由于需要养伤，杜兰特不会参加这次的全明星赛。他的替补是凯尔特人的球员塔图姆。替补方面，杜兰特率先选择。杜兰特队的替补还包括布克、锡安、拉文、兰德尔、武切维奇、米切尔。	队长詹姆斯和杜兰特各自组成了他们的全明星阵容，阵容如下勒布朗队：队长:勒布朗·詹姆斯，湖人选择1:雄鹿队的GiannisAntetokounmpo选择2:勇士队的库里(StephenCurry)。以上是勒布朗队和杜兰特队的数据对比，数据不包括杜兰特，很遗憾杜兰特将不参加比赛。
皇马官宣一好一坏两个消息：齐达内隔离复出，老佛爷感染被隔离	皇马官方公告
电影·看点太原中影国际影城今日，由程伟豪执导，张震、张钧甯、孙安可、李铭顺、张柏嘉等联袂出演的悬疑犯罪电影《缉魂》曝光首映礼口碑特辑，特辑中观众激动分享观影感受，导演与作家等圈内大咖也纷纷为影片点赞，惊喜、感动、震撼等形容不绝于耳，可见影片口碑之优异。	今日，由程伟豪执导，张震、张钧甯、孙安可、李铭顺、张柏嘉等联袂出演的悬疑犯罪电影《缉魂》曝光首映礼口碑特辑，特辑中观众激动分享观影感受，导演与作家等圈内大咖也纷纷为影片点赞，惊喜、感动、震撼等形容不绝于耳，可见影片口碑之优异。
北京时间2月6日，在今日结束的一场NBA常规赛中，篮网以117比123不敌猛龙，本场比赛，杜兰特因为健康安全协议无缘首发，职业生涯首次替补登场，而在下半场开场不久他就被告知无法继续比赛，无奈提前离场。全场比赛，杜兰特出战19分钟，8投3中拿到8分6篮板5助攻4犯规3失误。  由于杜兰特下半场不在，篮	尽管最近5胜1负的篮网状态火热，不仅双杀上赛季东部冠军热火，还力斩现任西部第一快船于马下，但面对猛龙这个两年来10战9负的苦主，篮网还是没敢有丝毫放松。  比赛之前，杜兰特已经因为密切接触追踪机制可能缺阵，后因所接触的人接受了进一步的检测可以替补出战。 按说，出于对本场比赛所有参与人员负责的态度，这
